elapsed_time,d_lon_egocar,v_lon_ego,v_lon_car,a_lon_ego,a_lon_car,angle_car
9.187947397120297,-0.27037799466615686,1.6849963161338906,1.6848314397827624,4.535447214000459,7.05727913661933,-0.01546836651262784
9.287947398610413,0.04202901676589432,0.2766168254758144,0.274460044540658,-6.225794473109329,-14.078398047478471,-0.0022429285622700412
9.38794740010053,4.096417720037086,0.20510456982445013,0.0739777036577412,-4.139568981691252,-1.794217271831526,-4.919081427079419e-05
9.487947401590645,7.2235824461790425,0.35511353010821184,0.35308486944354167,3.18817636755284,1.4894613180213998,-0.004543969614950738
9.587947403080761,7.133172524243062,0.5197648055712201,0.5028731088281743,3.4816254552702586,1.5098706696557842,-0.0038077530652305125
9.687947404570878,7.3609442650544725,0.7391580163612935,0.721742175991298,2.0209609539598214,2.0800871417715063,-0.0035006939441895035
9.787947406060994,7.537563990901164,0.9343475509992651,0.9280832581793813,2.018421064299997,1.9195137997849532,-0.0032610355332296503
9.88794740755111,7.578991317022258,1.1248484147284181,1.1241876091220246,2.216067195423412,1.9011003599185614,-0.0030105318850386364
9.987947409041226,7.563047382075281,1.3180937425282517,1.3180335993726562,1.8208198096062447,1.9328952059828766,-0.00286770492348154
10.087947410531342,7.540075525665321,1.4804202244781448,1.4799893945081395,1.5633033921574142,1.6233337273026907,-0.002710566859650987
10.187947412021458,7.519555325642553,1.6224532872347954,1.6220463509494478,1.4353244800508933,1.4201971502153752,-0.0025028058087535054
10.287947413511574,7.4998077737286994,1.7546944234524333,1.7545162722784946,1.3567191091236992,1.322343763670204,-0.0023117719906060596
10.38794741500169,7.47920899995454,1.8808693152053306,1.8808332761656994,1.297890589682262,1.261737262084226,-0.002176323102948796
10.487947416491807,7.457698993515836,2.002399510016441,2.002395649997927,1.2464204663925451,1.215303611943387,-0.0019484099917956854
10.587947417981923,7.435689248701274,2.119884719583937,2.1198760562271874,1.1981116060526202,1.1748495525361997,-0.0017330770775643156
10.687947419472039,7.413447603305177,2.2336245999533206,2.2336145485446304,1.1519166154270217,1.137396748943465,-0.00147014824453362
10.787947420962155,7.391113277740598,2.343802461726256,2.343795325268567,1.1075666115727392,1.1017715551722815,-0.0016006028192829813
10.887947422452271,7.368759871587485,2.450553950945503,2.4505513618187544,1.064862452282114,1.0675209523256375,-0.0011357938571323611
10.987947423942387,7.346486876621719,2.5539988169344254,2.553997069823856,1.0236843192868943,1.0344458724272403,-0.0011589046825715155
11.087947425432503,7.324364635615888,2.6542440150323676,2.654242690979378,0.9840396381516001,1.0024530944668624,-0.0009698926027201793
11.18794742692262,7.302466659679015,2.7513897643500975,2.7513888619430436,0.945893591737775,0.9714592641533722,-0.0007348660516093286
11.287947428412735,7.280870479523535,2.845533616865959,2.845533080704784,0.9092213060366778,0.9414392247468063,-0.000550144066522984
11.387947429902852,7.2596230244387705,2.9367699643173677,2.9367698247818503,0.8739712553760919,0.9123644427221655,-0.00026974668488133347
11.487947431392968,7.238817290681886,3.025191566337855,3.0251915595537042,0.8401003835791533,0.8842162383090646,-5.2787486112038096e-05
11.587947432883084,7.218879551110587,3.110884985236969,3.110884973000995,0.5855821804209727,0.856934083813268,8.560522112510682e-05
11.6879474343732,7.205933454125279,3.1939339028985554,3.193933778632873,-0.04421246452016399,0.8304884118069196,0.0002749372159840391
11.787947435863316,7.201611703495401,3.2744228718495814,3.274422605535091,-0.044431607489433055,0.8048891565513762,0.00040095568530329473
11.887947437353432,7.205586652393591,3.3524314981055103,3.3524310844088694,-0.04447879113980201,0.7800865939021284,0.0004960536213292066
11.987947438843548,7.217610404379867,3.428036726260561,3.4280359930901985,-0.04436407662563301,0.7560509772097264,0.0006539475315661125
12.087947440333664,7.2368591604158405,3.501313532192463,3.5013125298696535,0.37767253095799297,0.7327671163154044,0.000756662406799169
12.18794744182378,7.248100866957844,3.572334031791402,3.57233268591522,1.9708018979058868,0.71020249802718,0.0008680160547895888
12.287947443313897,7.249878338982988,3.6411694146143185,3.6411679754118422,1.4386531114362846,0.6883517377322792,0.000889071949070841
12.387947444804013,7.24574697871078,3.70788759001565,3.7078860083446328,1.190729267151386,0.667180496253856,0.0009236373302532463
12.487947446294129,7.237167676061544,3.772554530721099,3.7725525685805965,1.0664919365239267,0.6466663063292373,0.0010199076503838445
12.587947447784245,7.2247736586530165,3.8352325200140207,3.8352303892631756,0.9964036319462454,0.6267778585827145,0.0010541089441731266
12.687947449274361,7.20883578768555,3.8959855530854868,3.895983285702156,0.9509489035196782,0.6075278901852915,0.0010788684645151037
12.787947450764477,7.189540880870244,3.9548716916443087,3.9548693200615186,0.9173965067372917,0.5888600690211462,0.0010951348504102398
12.887947452254593,7.166950199661331,4.011949962643251,4.011948269998536,0.8900112140143682,0.570787051935758,0.0009185862122709221
12.98794745374471,7.141216230672309,4.067274924043336,4.067272921371942,0.8659119826205937,0.5532444417836431,0.0009923571044738733
13.087947455234826,7.1123615810299174,4.120902189418033,4.120900145215966,0.8436832734705971,0.5362756375213279,0.0009960491482572387
13.187947456724942,7.080448035500665,4.172884831510234,4.172883619782068,0.8225337566670151,0.5198292101452913,0.000762077900778646
13.287947458215058,7.0455548840427324,4.223271241027328,4.223269349578138,0.8020689772538342,0.5038584461543951,0.0009464285537486017
13.387947459705174,7.007705440642847,4.272113729605495,4.272112382068429,0.7821750030819189,0.48842992389492285,0.0007942621969467822
13.48794746119529,6.966945420172307,4.319458601449552,4.319457139857693,0.7627628483271592,0.47344649403235395,0.0008226465272502814
