,rho_safe_imply_plan,rho_safeandnextunsafe_imply_plan
0,-5.560222584753741,-0.07285875406933151
1,-5.560222584753741,-0.07285875406933151
2,-5.560222584753741,-0.07285875406933151
3,-5.560222584753741,-0.07285875406933151
4,-5.560222584753741,-0.07285875406933151
5,-5.560222584753741,-0.07285875406933151
6,-5.560222584753741,-0.07285875406933151
7,-5.560222584753741,-0.07285875406933151
8,-5.560222584753741,-0.07285875406933151
9,-5.560222584753741,-0.07285875406933151
10,-5.560222584753741,-0.07285875406933151
11,-5.560222584753741,-0.07285875406933151
12,-5.560222584753741,-0.07285875406933151
13,-5.560222584753741,-0.07285875406933151
14,-5.560222584753741,-0.07285875406933151
15,-5.560222584753741,-0.07285875406933151
16,-5.560222584753741,-0.07285875406933151
17,-5.560222584753741,-0.07285875406933151
18,-5.560222584753741,-0.07285875406933151
19,-5.560222584753741,-0.07285875406933151
20,-5.560222584753741,-0.07285875406933151
21,-5.560222584753741,-0.07285875406933151
22,-5.560222584753741,-0.07285875406933151
23,-5.560222584753741,-0.07285875406933151
24,-5.560222584753741,-0.07285875406933151
25,-5.560222584753741,-0.07285875406933151
26,-5.560222584753741,-0.07285875406933151
27,-5.560222584753741,-0.07285875406933151
28,-5.560222584753741,-0.07285875406933151
29,-5.560222584753741,-0.07285875406933151
30,-5.560222584753741,-0.07285875406933151
31,-5.560222584753741,-0.07285875406933151
32,-5.560222584753741,-0.07285875406933151
33,-5.560222584753741,-0.07285875406933151
34,-5.560222584753741,-0.07285875406933151
35,-5.560222584753741,-0.07285875406933151
36,-5.560222584753741,-0.07285875406933151
37,-5.560222584753741,-0.07285875406933151
38,-5.560222584753741,-0.07285875406933151
39,-5.560222584753741,-0.07285875406933151
40,-5.560222584753741,-0.07285875406933151
41,-5.560222584753741,-0.07285875406933151
42,-5.560222584753741,-0.07285875406933151
43,-5.560222584753741,-0.07285875406933151
44,-5.560222584753741,-0.07285875406933151
45,-5.560222584753741,-0.07285875406933151
46,-5.560222584753741,-0.07285875406933151
47,-5.560222584753741,-0.07285875406933151
48,-5.560222584753741,-0.07285875406933151
49,-5.560222584753741,-0.07285875406933151
50,-5.560222584753741,-0.07285875406933151
51,-5.560222584753741,-0.07285875406933151
52,-5.560222584753741,-0.07285875406933151
53,-5.560222584753741,-0.07285875406933151
54,-5.560222584753741,-0.07285875406933151
55,-5.560222584753741,-0.07285875406933151
56,-5.560222584753741,-0.07285875406933151
57,-5.560222584753741,-0.07285875406933151
58,-5.560222584753741,-0.07285875406933151
59,-5.560222584753741,-0.07285875406933151
60,-5.560222584753741,-0.07285875406933151
61,-5.560222584753741,-0.07285875406933151
62,-5.560222584753741,-0.07285875406933151
63,-5.560222584753741,-0.07285875406933151
64,-5.560222584753741,-0.07285875406933151
65,-5.560222584753741,-0.07285875406933151
66,-5.560222584753741,-0.07285875406933151
67,-5.560222584753741,-0.07285875406933151
68,-5.560222584753741,-0.07285875406933151
69,-5.560222584753741,-0.07285875406933151
70,-5.560222584753741,-0.07285875406933151
71,-5.560222584753741,-0.07285875406933151
72,-5.560222584753741,-0.07285875406933151
73,-5.560222584753741,-0.07285875406933151
74,-5.560222584753741,-0.07285875406933151
75,-5.560222584753741,-0.07285875406933151
76,-5.560222584753741,-0.07285875406933151
77,-5.560222584753741,-0.07285875406933151
78,-5.560222584753741,-0.07285875406933151
79,-5.560222584753741,-0.07285875406933151
